CODE,SECTOR
3336,CONSTRUCTION
3379,FINANCIAL SERVICES
3395,INDUSTRIAL PRODUCTS & SERVICES
3417,PROPERTY
3441,FINANCIAL SERVICES
3476,INDUSTRIAL PRODUCTS & SERVICES
3514,CONSUMER PRODUCTS & SERVICES
3557,PROPERTY
3565,CONSTRUCTION
3573,PROPERTY
3611,PROPERTY
3662,CONSUMER PRODUCTS & SERVICES
3689,CONSUMER PRODUCTS & SERVICES
3719,CONSUMER PRODUCTS & SERVICES
3743,PROPERTY
3778,INDUSTRIAL PRODUCTS & SERVICES
3794,INDUSTRIAL PRODUCTS & SERVICES
3816,TRANSPORTATION & LOGISTICS
3859,CONSUMER PRODUCTS & SERVICES
3867,TECHNOLOGY
3883,INDUSTRIAL PRODUCTS & SERVICES
3891,CONSUMER PRODUCTS & SERVICES
3905,CONSUMER PRODUCTS & SERVICES
3913,PROPERTY
3948,PLANTATION
4006,CONSUMER PRODUCTS & SERVICES
4022,PROPERTY
4057,PROPERTY
4065,CONSUMER PRODUCTS & SERVICES
4081,CONSUMER PRODUCTS & SERVICES
4162,CONSUMER PRODUCTS & SERVICES
4197,CONSUMER PRODUCTS & SERVICES
4219,CONSUMER PRODUCTS & SERVICES
4235,INDUSTRIAL PRODUCTS & SERVICES
4243,INDUSTRIAL PRODUCTS & SERVICES
4251,PROPERTY
4286,PROPERTY
4316,PLANTATION
4324,ENERGY
4359,TECHNOLOGY
4375,PROPERTY
4383,PLANTATION
4405,CONSUMER PRODUCTS & SERVICES
4456,TECHNOLOGY
4464,PROPERTY
4502,TELECOMMUNICATIONS & MEDIA
4588,INDUSTRIAL PRODUCTS & SERVICES
4596,PROPERTY
4634,TRANSPORTATION & LOGISTICS
4677,UTILITIES
4707,CONSUMER PRODUCTS & SERVICES
4715,CONSUMER PRODUCTS & SERVICES
4723,CONSTRUCTION
4731,INDUSTRIAL PRODUCTS & SERVICES
4758,INDUSTRIAL PRODUCTS & SERVICES
4847,CONSTRUCTION
4863,TELECOMMUNICATIONS & MEDIA
4936,PLANTATION
4944,CONSUMER PRODUCTS & SERVICES
4995,CONSUMER PRODUCTS & SERVICES
5000,INDUSTRIAL PRODUCTS & SERVICES
5001,INDUSTRIAL PRODUCTS & SERVICES
5005,TECHNOLOGY
5006,CONSTRUCTION
5007,INDUSTRIAL PRODUCTS & SERVICES
5008,CONSUMER PRODUCTS & SERVICES
5009,INDUSTRIAL PRODUCTS & SERVICES
5010,INDUSTRIAL PRODUCTS & SERVICES
5011,TECHNOLOGY
5012,PLANTATION
5014,TRANSPORTATION & LOGISTICS
5015,INDUSTRIAL PRODUCTS & SERVICES
5016,CONSUMER PRODUCTS & SERVICES
5020,PROPERTY
5021,INDUSTRIAL PRODUCTS & SERVICES
5022,CONSUMER PRODUCTS & SERVICES
5024,CONSUMER PRODUCTS & SERVICES
5025,CONSUMER PRODUCTS & SERVICES
5026,PLANTATION
5027,PLANTATION
5028,TECHNOLOGY
5029,PLANTATION
5031,TELECOMMUNICATIONS & MEDIA
5032,TRANSPORTATION & LOGISTICS
5035,INDUSTRIAL PRODUCTS & SERVICES
5036,TECHNOLOGY
5037,INDUSTRIAL PRODUCTS & SERVICES
5038,PROPERTY
5040,PROPERTY
5041,UTILITIES
5042,CONSTRUCTION
5047,INDUSTRIAL PRODUCTS & SERVICES
5048,INDUSTRIAL PRODUCTS & SERVICES
5049,PROPERTY
5053,PROPERTY
5054,CONSTRUCTION
5056,INDUSTRIAL PRODUCTS & SERVICES
5062,PROPERTY
5065,INDUSTRIAL PRODUCTS & SERVICES
5066,CONSUMER PRODUCTS & SERVICES
5068,INDUSTRIAL PRODUCTS & SERVICES
5069,PLANTATION
5070,CONSTRUCTION
5071,ENERGY
5072,INDUSTRIAL PRODUCTS & SERVICES
5073,PROPERTY
5075,PROPERTY
5077,TRANSPORTATION & LOGISTICS
5078,TRANSPORTATION & LOGISTICS
5079,CONSUMER PRODUCTS & SERVICES
5080,CONSUMER PRODUCTS & SERVICES
5081,CONSUMER PRODUCTS & SERVICES
5082,FINANCIAL SERVICES
5084,PROPERTY
5085,CONSTRUCTION
5087,INDUSTRIAL PRODUCTS & SERVICES
5088,FINANCIAL SERVICES
5090,TELECOMMUNICATIONS & MEDIA
5094,INDUSTRIAL PRODUCTS & SERVICES
5095,INDUSTRIAL PRODUCTS & SERVICES
5098,INDUSTRIAL PRODUCTS & SERVICES
5099,CONSUMER PRODUCTS & SERVICES
5100,INDUSTRIAL PRODUCTS & SERVICES
5101,INDUSTRIAL PRODUCTS & SERVICES
5102,CONSUMER PRODUCTS & SERVICES
5104,CONSUMER PRODUCTS & SERVICES
5105,INDUSTRIAL PRODUCTS & SERVICES
5106,REAL ESTATE INVESTMENT TRUSTS
5107,CONSUMER PRODUCTS & SERVICES
5108,CLOSED-END FUND
5109,REAL ESTATE INVESTMENT TRUSTS
5110,REAL ESTATE INVESTMENT TRUSTS
5111,REAL ESTATE INVESTMENT TRUSTS
5112,PLANTATION
5113,PLANTATION
5115,ENERGY
5120,REAL ESTATE INVESTMENT TRUSTS
5121,REAL ESTATE INVESTMENT TRUSTS
5123,REAL ESTATE INVESTMENT TRUSTS
5125,INDUSTRIAL PRODUCTS & SERVICES
5126,PLANTATION
5127,REAL ESTATE INVESTMENT TRUSTS
5129,CONSTRUCTION
5130,REAL ESTATE INVESTMENT TRUSTS
5131,CONSUMER PRODUCTS & SERVICES
5132,ENERGY
5133,ENERGY
5134,INDUSTRIAL PRODUCTS & SERVICES
5135,PLANTATION
5136,TRANSPORTATION & LOGISTICS
5138,PLANTATION
5139,FINANCIAL SERVICES
5140,TRANSPORTATION & LOGISTICS
5141,ENERGY
5142,ENERGY
5143,INDUSTRIAL PRODUCTS & SERVICES
5145,TRANSPORTATION & LOGISTICS
